tile_id,shard,key,source_uri,x_off,y_off,w,h,crs,minx,miny,maxx,maxy,bands,dtype
6ae03eb6-6af9-5550-8c22-97b19ffca21a_r0000000_c0000000,6ae03eb6-6af9-5550-8c22-97b19ffca21a-001.tar,6ae03eb6-6af9-5550-8c22-97b19ffca21a_r0000000_c0000000,/home/rhea/B/ClearLake_Samples/2025_06_28_ClearLake_SD_S1_DEM.tif,0,0,512,512,EPSG:4326,-96.7756973637271,44.807926582344294,-96.7753739210391,44.808156866632295,1,uint16
6ae03eb6-6af9-5550-8c22-97b19ffca21a_r0000000_c0000001,6ae03eb6-6af9-5550-8c22-97b19ffca21a-001.tar,6ae03eb6-6af9-5550-8c22-97b19ffca21a_r0000000_c0000001,/home/rhea/B/ClearLake_Samples/2025_06_28_ClearLake_SD_S1_DEM.tif,512,0,512,512,EPSG:4326,-96.7753739210391,44.807926582344294,-96.7750504783511,44.808156866632295,1,uint16
6ae03eb6-6af9-5550-8c22-97b19ffca21a_r0000000_c0000002,6ae03eb6-6af9-5550-8c22-97b19ffca21a-001.tar,6ae03eb6-6af9-5550-8c22-97b19ffca21a_r0000000_c0000002,/home/rhea/B/ClearLake_Samples/2025_06_28_ClearLake_SD_S1_DEM.tif,1024,0,512,512,EPSG:4326,-96.7750504783511,44.807926582344294,-96.7747270356631,44.808156866632295,1,uint16
6ae03eb6-6af9-5550-8c22-97b19ffca21a_r0000000_c0000003,6ae03eb6-6af9-5550-8c22-97b19ffca21a-001.tar,6ae03eb6-6af9-5550-8c22-97b19ffca21a_r0000000_c0000003,/home/rhea/B/ClearLake_Samples/2025_06_28_ClearLake_SD_S1_DEM.tif,1536,0,512,512,EPSG:4326,-96.7747270356631,44.807926582344294,-96.7744035929751,44.808156866632295,1,uint16
6ae03eb6-6af9-5550-8c22-97b19ffca21a_r0000000_c0000004,6ae03eb6-6af9-5550-8c22-97b19ffca21a-001.tar,6ae03eb6-6af9-5550-8c22-97b19ffca21a_r0000000_c0000004,/home/rhea/B/ClearLake_Samples/2025_06_28_ClearLake_SD_S1_DEM.tif,2048,0,512,512,EPSG:4326,-96.7744035929751,44.807926582344294,-96.7740801502871,44.808156866632295,1,uint16
6ae03eb6-6af9-5550-8c22-97b19ffca21a_r0000000_c0000005,6ae03eb6-6af9-5550-8c22-97b19ffca21a-001.tar,6ae03eb6-6af9-5550-8c22-97b19ffca21a_r0000000_c0000005,/home/rhea/B/ClearLake_Samples/2025_06_28_ClearLake_SD_S1_DEM.tif,2560,0,512,512,EPSG:4326,-96.7740801502871,44.807926582344294,-96.7737567075991,44.808156866632295,1,uint16
6ae03eb6-6af9-5550-8c22-97b19ffca21a_r0000000_c0000006,6ae03eb6-6af9-5550-8c22-97b19ffca21a-001.tar,6ae03eb6-6af9-5550-8c22-97b19ffca21a_r0000000_c0000006,/home/rhea/B/ClearLake_Samples/2025_06_28_ClearLake_SD_S1_DEM.tif,3072,0,512,512,EPSG:4326,-96.7737567075991,44.807926582344294,-96.7734332649111,44.808156866632295,1,uint16
6ae03eb6-6af9-5550-8c22-97b19ffca21a_r0000000_c0000007,6ae03eb6-6af9-5550-8c22-97b19ffca21a-001.tar,6ae03eb6-6af9-5550-8c22-97b19ffca21a_r0000000_c0000007,/home/rhea/B/ClearLake_Samples/2025_06_28_ClearLake_SD_S1_DEM.tif,3584,0,512,512,EPSG:4326,-96.7734332649111,44.807926582344294,-96.7731098222231,44.808156866632295,1,uint16
6ae03eb6-6af9-5550-8c22-97b19ffca21a_r0000000_c0000008,6ae03eb6-6af9-5550-8c22-97b19ffca21a-001.tar,6ae03eb6-6af9-5550-8c22-97b19ffca21a_r0000000_c0000008,/home/rhea/B/ClearLake_Samples/2025_06_28_ClearLake_SD_S1_DEM.tif,4096,0,512,512,EPSG:4326,-96.7731098222231,44.807926582344294,-96.7727863795351,44.808156866632295,1,uint16
6ae03eb6-6af9-5550-8c22-97b19ffca21a_r0000000_c0000009,6ae03eb6-6af9-5550-8c22-97b19ffca21a-001.tar,6ae03eb6-6af9-5550-8c22-97b19ffca21a_r0000000_c0000009,/home/rhea/B/ClearLake_Samples/2025_06_28_ClearLake_SD_S1_DEM.tif,4608,0,512,512,EPSG:4326,-96.7727863795351,44.807926582344294,-96.7724629368471,44.808156866632295,1,uint16
